ID,연령,결혼여부,학력,주택대출여부,개인대출여부,contact,통화시간,연락시도횟수,과거통화횟수,요일,경제활동,사용금액,사용횟수,연락월,Target
3523,32,미혼,대졸학사,대출있음,대출있음,휴대폰,326,3,0,월,경제활동인구,1800007,44231,4,0
3524,29,결혼,대졸학사,대출있음,없음,휴대폰,140,1,0,금,경제활동인구,1800007,44231,5,0
3525,33,미혼,대졸학사,미확인,미확인,휴대폰,295,2,0,일,경제활동인구,1800007,44231,5,0
3526,60,결혼,전문학교,없음,없음,휴대폰,73,1,0,수,경제활동인구,1800007,44231,6,0
3527,54,결혼,고졸,대출있음,없음,휴대폰,388,4,0,수,경제활동인구,1800007,44231,7,0
3528,31,결혼,대졸학사,대출있음,대출있음,휴대폰,156,2,0,월,경제활동인구,1800007,44231,7,0
3529,54,결혼,대졸학사,대출있음,없음,휴대폰,252,2,0,화,경제활동인구,1800007,44231,8,0
3530,50,미혼,대졸학사,대출있음,없음,휴대폰,350,2,0,토,경제활동인구,1800007,44231,9,0
3531,54,이혼,대졸학사,대출있음,없음,휴대폰,80,2,0,일,경제활동인구,1800007,44231,9,0
3532,31,미혼,대졸학사,없음,없음,휴대폰,249,3,0,금,경제활동인구,1800007,44231,10,0
3533,35,결혼,대졸학사,대출있음,없음,휴대폰,344,2,0,화,경제활동인구,1800007,44231,11,0
3534,40,결혼,전문학교,없음,없음,휴대폰,119,1,0,목,경제활동인구,1800007,44231,11,0
3535,43,결혼,대졸학사,없음,없음,휴대폰,123,3,0,화,경제활동인구,1800007,44231,12,0
3536,59,결혼,고졸,없음,없음,휴대폰,351,1,0,월,비경제활동인구,1800007,44231,1,0
3537,29,미혼,대졸학사,대출있음,대출있음,휴대폰,243,5,0,토,경제활동인구,1800007,44231,2,0
3538,29,이혼,대졸학사,대출있음,대출있음,휴대폰,120,1,0,화,경제활동인구,1800007,44231,1,0
3539,56,결혼,고졸,대출있음,없음,휴대폰,793,5,0,수,경제활동인구,1800007,44231,3,1
3540,46,결혼,미확인,없음,없음,휴대폰,109,1,0,화,경제활동인구,1800007,44231,5,0
3541,48,결혼,대졸학사,대출있음,없음,휴대폰,651,9,0,금,경제활동인구,1800007,44231,6,0
3542,48,결혼,대졸학사,대출있음,없음,휴대폰,112,2,0,수,경제활동인구,1800007,44231,7,0
3543,44,결혼,고졸,없음,대출있음,휴대폰,140,5,0,월,경제활동인구,1800007,44231,9,0
3544,46,결혼,석박사,없음,없음,휴대폰,194,5,0,수,경제활동인구,1800007,44231,10,0
3545,50,결혼,대졸학사,미확인,미확인,휴대폰,107,2,0,월,경제활동인구,1800007,44231,12,0
3546,48,결혼,전문학교,없음,없음,휴대폰,57,5,0,금,경제활동인구,1800007,44231,1,0
3547,43,결혼,대졸학사,대출있음,없음,휴대폰,35,10,0,토,경제활동인구,1800007,44231,2,0
3548,60,결혼,고졸,대출있음,없음,휴대폰,259,1,0,금,경제활동인구,1800007,44231,1,0
3549,55,결혼,미확인,없음,없음,휴대폰,105,1,0,수,미확인,1800007,44231,2,0
3550,45,결혼,석박사,없음,대출있음,휴대폰,46,5,0,토,경제활동인구,1800007,44231,3,0
3551,34,미혼,미확인,없음,없음,유선전화,101,1,0,목,경제활동인구,1800007,44231,3,0
3552,48,결혼,대졸학사,대출있음,없음,휴대폰,112,1,1,수,경제활동인구,1800007,44231,4,0
3553,36,결혼,고졸,대출있음,없음,휴대폰,391,1,0,금,미확인,1800007,44231,4,0
3554,45,결혼,전문학교,없음,없음,휴대폰,113,1,0,금,경제활동인구,1800007,44231,5,0
3555,40,결혼,고졸,대출있음,없음,유선전화,132,2,0,토,경제활동인구,1800007,44231,6,0
3556,56,이혼,전문학교,없음,없음,휴대폰,79,1,0,월,경제활동인구,1800007,44231,7,0
3557,54,결혼,전문학교,없음,없음,휴대폰,172,1,0,화,비경제활동인구,1800007,44231,8,0
3558,47,결혼,전문학교,대출있음,없음,휴대폰,97,1,0,토,경제활동인구,1800007,44231,9,0
3559,45,결혼,대졸학사,없음,없음,휴대폰,633,2,0,수,경제활동인구,1800007,44231,10,0
3560,48,미혼,대졸학사,대출있음,대출있음,휴대폰,193,4,1,목,경제활동인구,1800007,44231,11,0
3561,29,미혼,고졸,없음,대출있음,휴대폰,224,1,0,토,경제활동인구,1800007,44231,12,0
3562,48,미혼,중졸,없음,없음,휴대폰,340,2,0,수,경제활동인구,1800007,44231,12,0
3563,33,이혼,전문학교,없음,없음,유선전화,50,4,0,월,경제활동인구,1800007,44231,1,0
3564,39,결혼,고졸,없음,대출있음,휴대폰,418,1,0,토,경제활동인구,1800007,44231,2,0
3565,37,결혼,대졸학사,없음,대출있음,휴대폰,611,2,0,금,경제활동인구,1800007,44231,1,0
3566,40,미혼,검정고시,없음,없음,휴대폰,308,1,0,금,경제활동인구,1800007,44231,3,0
3567,40,미혼,대졸학사,없음,없음,휴대폰,549,1,0,수,경제활동인구,1800007,44231,4,1
3568,46,미혼,대졸학사,대출있음,대출있음,휴대폰,292,2,0,월,경제활동인구,1800007,44231,5,0
3569,41,미혼,대졸학사,대출있음,없음,휴대폰,80,1,0,화,경제활동인구,1800007,44231,6,0
3570,43,결혼,전문학교,대출있음,없음,유선전화,37,4,0,월,경제활동인구,1800007,44231,7,0
3571,30,미혼,전문학교,없음,없음,휴대폰,232,2,1,목,경제활동인구,1800007,44231,8,0
3572,45,결혼,석박사,대출있음,없음,휴대폰,76,1,0,토,경제활동인구,1800007,44231,10,0
3573,31,미혼,대졸학사,대출있음,대출있음,휴대폰,244,1,0,수,경제활동인구,1800007,44231,12,0
3574,34,이혼,대졸학사,없음,없음,휴대폰,549,2,0,금,경제활동인구,1800007,44231,2,1
3575,37,결혼,대졸학사,없음,없음,유선전화,39,9,0,수,경제활동인구,1800007,44231,1,0
3576,34,미혼,고졸,대출있음,없음,휴대폰,143,3,0,금,경제활동인구,1800007,44231,2,0
3577,39,미혼,전문학교,대출있음,없음,휴대폰,395,3,0,화,경제활동인구,1800007,44231,2,1
3578,73,결혼,대졸학사,대출있음,없음,휴대폰,179,1,0,토,비경제활동인구,1800007,44231,3,1
3579,30,결혼,대졸학사,대출있음,없음,휴대폰,103,1,0,일,경제활동인구,1800007,44231,3,0
3580,66,미혼,대졸학사,대출있음,없음,휴대폰,411,1,0,목,비경제활동인구,1800007,44231,4,0
3581,33,미혼,대졸학사,없음,없음,휴대폰,171,2,0,수,경제활동인구,1800007,44231,5,0
3582,57,결혼,석박사,대출있음,없음,휴대폰,232,1,0,일,경제활동인구,1800007,44231,5,0
3583,26,결혼,고졸,없음,없음,휴대폰,334,2,0,목,경제활동인구,1800007,44231,6,1
3584,29,미혼,고졸,대출있음,없음,휴대폰,105,2,0,수,경제활동인구,1800007,44231,7,0
3585,54,결혼,전문학교,없음,없음,휴대폰,402,1,1,화,경제활동인구,1800007,44231,8,0
3586,44,결혼,석박사,대출있음,없음,휴대폰,345,1,0,금,경제활동인구,1800007,44231,8,0
3587,41,결혼,고졸,없음,없음,휴대폰,135,1,1,일,미확인,1800007,44231,9,0
3588,42,미혼,미확인,없음,없음,휴대폰,54,2,0,토,경제활동인구,1800007,44231,9,0
3589,41,미혼,대졸학사,대출있음,없음,휴대폰,279,1,0,일,경제활동인구,1800007,44231,10,0
3590,48,이혼,전문학교,대출있음,대출있음,휴대폰,111,2,1,목,경제활동인구,1800007,44231,10,0
3591,21,미혼,대졸학사,대출있음,대출있음,휴대폰,169,1,0,일,경제활동인구,1800007,44231,11,0
3592,52,결혼,중졸,대출있음,없음,휴대폰,229,5,0,토,경제활동인구,1800007,44231,12,1
3593,39,결혼,고졸,대출있음,없음,휴대폰,620,1,0,수,경제활동인구,1800007,44231,1,1
3594,48,결혼,대졸학사,없음,없음,휴대폰,27,1,2,월,경제활동인구,1800007,44231,1,0
3595,28,결혼,대졸학사,대출있음,없음,휴대폰,643,1,0,화,경제활동인구,1800007,44231,2,1
3596,42,결혼,전문학교,대출있음,없음,휴대폰,520,2,1,일,경제활동인구,1800007,44231,1,0
3597,31,미혼,전문학교,대출있음,없음,휴대폰,62,1,0,수,경제활동인구,1800007,44231,2,0
3598,27,미혼,고졸,대출있음,없음,휴대폰,352,1,0,목,경제활동인구,1800007,44231,3,0
3599,33,결혼,고졸,대출있음,없음,유선전화,408,2,1,토,경제활동인구,1800007,44231,4,0
3600,39,결혼,중졸,없음,대출있음,휴대폰,162,1,0,금,경제활동인구,1800007,44231,6,0
3601,39,결혼,전문학교,없음,없음,휴대폰,100,1,0,토,미확인,1800007,44231,6,0
3602,33,결혼,대졸학사,대출있음,없음,휴대폰,85,4,0,금,경제활동인구,1800007,44231,7,0
3603,32,결혼,전문학교,없음,없음,휴대폰,187,1,0,수,경제활동인구,1800007,44231,8,0
3604,37,결혼,고졸,대출있음,없음,휴대폰,166,1,0,토,경제활동인구,1800007,44231,8,0
3605,29,결혼,전문학교,없음,없음,유선전화,325,1,0,화,경제활동인구,1800007,44231,9,0
3606,36,결혼,중졸,대출있음,대출있음,휴대폰,350,3,0,화,경제활동인구,1800007,44231,11,0
3607,40,결혼,미확인,없음,없음,휴대폰,265,1,1,화,경제활동인구,1800007,44231,12,0
3608,35,결혼,대졸학사,대출있음,없음,휴대폰,763,1,0,토,경제활동인구,1800007,44231,1,1
3609,49,미혼,미확인,대출있음,없음,휴대폰,347,2,0,화,경제활동인구,1800007,44231,3,0
3610,34,미혼,검정고시,대출있음,없음,휴대폰,67,1,0,목,경제활동인구,1800007,44231,4,0
3611,31,미혼,고졸,대출있음,없음,휴대폰,106,1,0,토,경제활동인구,1800007,44231,6,0
3612,49,결혼,검정고시,대출있음,대출있음,휴대폰,330,2,1,목,경제활동인구,1800007,44231,7,0
3613,50,결혼,전문학교,없음,없음,휴대폰,204,2,1,월,경제활동인구,1800007,44231,9,0
3614,28,미혼,전문학교,대출있음,없음,휴대폰,91,1,0,화,경제활동인구,1800007,44231,10,0
3615,34,미혼,전문학교,대출있음,없음,유선전화,179,5,0,토,미확인,1800007,44231,12,0
3616,28,미혼,고졸,없음,없음,휴대폰,223,1,0,화,경제활동인구,1800007,44231,2,0
3617,44,이혼,전문학교,대출있음,없음,휴대폰,173,8,1,화,경제활동인구,1800007,44231,7,0
3618,41,결혼,고졸,없음,대출있음,휴대폰,161,1,0,수,경제활동인구,1800007,44231,11,0
3619,35,미혼,대졸학사,없음,없음,휴대폰,60,1,1,목,경제활동인구,1800007,44231,1,0
3620,35,미혼,전문학교,없음,없음,휴대폰,234,3,0,수,경제활동인구,1800007,44231,2,0
3621,40,결혼,고졸,대출있음,대출있음,휴대폰,777,2,0,일,경제활동인구,1800007,44231,3,0
3622,43,결혼,중졸,없음,대출있음,휴대폰,722,2,1,토,경제활동인구,1800007,44231,4,1
3623,44,결혼,전문학교,없음,없음,유선전화,188,1,1,일,경제활동인구,1800007,44231,5,0
3624,24,미혼,석박사,없음,없음,휴대폰,175,1,1,월,경제활동인구,1800007,44231,7,0
3625,52,미확인,중졸,미확인,미확인,휴대폰,610,3,0,월,경제활동인구,1800007,44231,8,0
3626,26,미혼,전문학교,없음,없음,휴대폰,49,3,0,토,경제활동인구,1800007,44231,9,0
3627,32,미혼,대졸학사,대출있음,없음,휴대폰,297,3,0,토,경제활동인구,1800007,44231,12,0
3628,33,미혼,석박사,대출있음,없음,휴대폰,1340,1,0,수,경제활동인구,1800007,44231,1,1
3629,33,미혼,전문학교,없음,없음,휴대폰,599,2,0,화,경제활동인구,1800007,44231,3,0
3630,32,결혼,전문학교,없음,없음,휴대폰,642,3,1,화,경제활동인구,1800007,44231,4,1
3631,35,결혼,대졸학사,대출있음,없음,휴대폰,109,1,0,수,경제활동인구,1800007,44231,6,0
3632,30,미혼,전문학교,대출있음,없음,휴대폰,245,3,1,토,경제활동인구,1800007,44231,8,0
3633,52,미혼,대졸학사,대출있음,없음,휴대폰,327,1,0,화,경제활동인구,1800007,44231,10,1
3634,32,결혼,대졸학사,대출있음,없음,휴대폰,712,1,2,일,경제활동인구,1800007,44231,12,1
3635,48,결혼,대졸학사,대출있음,없음,휴대폰,447,2,1,화,경제활동인구,1800007,44231,1,1
3636,28,미혼,석박사,대출있음,대출있음,휴대폰,149,1,1,목,경제활동인구,1800007,44231,1,1
3637,31,결혼,대졸학사,대출있음,없음,휴대폰,382,2,0,금,경제활동인구,1800007,44231,2,1
3638,59,이혼,중졸,대출있음,없음,휴대폰,218,1,0,월,경제활동인구,1800007,44231,2,1
3639,51,결혼,대졸학사,미확인,미확인,유선전화,116,3,0,월,경제활동인구,1800007,44231,3,0
3640,48,결혼,대졸학사,없음,대출있음,휴대폰,295,2,2,토,경제활동인구,1800007,44231,3,1
3641,21,미혼,전문학교,대출있음,없음,유선전화,172,2,0,월,미확인,1800007,44231,4,0
3642,44,결혼,전문학교,대출있음,없음,휴대폰,143,1,1,토,미확인,1800007,44231,4,0
3643,35,결혼,대졸학사,미확인,미확인,휴대폰,117,1,0,일,경제활동인구,1800007,44231,4,0
3644,63,결혼,중졸,없음,없음,휴대폰,479,1,0,토,비경제활동인구,1800007,44231,5,1
3645,51,결혼,석박사,없음,대출있음,휴대폰,520,1,0,토,경제활동인구,1800007,44231,6,1
3646,24,미혼,대졸학사,없음,없음,휴대폰,106,1,1,화,경제활동인구,1800007,44231,7,1
3647,41,결혼,석박사,없음,없음,휴대폰,173,2,0,수,경제활동인구,1800007,44231,7,0
3648,60,결혼,중졸,대출있음,없음,휴대폰,1020,1,0,토,비경제활동인구,1800007,44231,8,0
3649,81,결혼,대졸학사,대출있음,대출있음,휴대폰,327,2,1,토,비경제활동인구,1800007,44231,9,0
3650,30,미혼,고졸,대출있음,없음,휴대폰,537,1,0,목,미확인,1800007,44231,10,1
3651,52,미혼,고졸,없음,없음,휴대폰,771,2,0,화,경제활동인구,1800007,44231,11,0
3652,61,결혼,중졸,대출있음,없음,휴대폰,234,1,0,토,비경제활동인구,1800007,44231,1,1
3653,55,이혼,고졸,없음,없음,휴대폰,415,7,0,수,경제활동인구,1800007,44231,2,1
3654,59,결혼,중졸,대출있음,없음,휴대폰,124,2,0,수,경제활동인구,1800007,44231,2,1
3655,57,결혼,고졸,없음,없음,휴대폰,94,2,0,목,경제활동인구,1800007,44231,5,0
3656,53,결혼,대졸학사,대출있음,없음,휴대폰,494,1,1,토,비경제활동인구,1800007,44231,9,1
3657,34,결혼,미확인,대출있음,없음,유선전화,97,3,0,일,경제활동인구,1800007,44231,2,0
3658,27,미혼,고졸,대출있음,대출있음,휴대폰,775,1,0,목,비경제활동인구,1800007,44231,6,1
3659,36,미혼,전문학교,없음,없음,휴대폰,339,1,1,목,경제활동인구,1800007,44231,1,1
3660,36,결혼,전문학교,없음,없음,유선전화,276,2,0,월,경제활동인구,1800007,44231,1,1
3661,78,결혼,중졸,대출있음,없음,휴대폰,173,2,1,수,비경제활동인구,1800007,44231,1,1
3662,38,미혼,대졸학사,없음,없음,휴대폰,135,7,0,월,경제활동인구,1800007,44231,2,0
3663,60,결혼,중졸,대출있음,없음,휴대폰,176,1,1,수,경제활동인구,1800007,44231,3,0
3664,58,결혼,전문학교,없음,없음,휴대폰,145,1,2,수,경제활동인구,1800007,44231,3,0
3665,29,결혼,전문학교,대출있음,없음,휴대폰,147,3,0,수,경제활동인구,1800007,44231,4,0
3666,24,미혼,전문학교,대출있음,없음,휴대폰,133,2,1,수,경제활동인구,1800007,44231,4,0
3667,38,이혼,대졸학사,대출있음,없음,유선전화,293,3,0,수,경제활동인구,1800007,44231,5,0
3668,46,결혼,석박사,없음,없음,휴대폰,383,1,0,월,경제활동인구,1800007,44231,5,0
3669,57,이혼,중졸,대출있음,없음,유선전화,293,1,0,금,비경제활동인구,2272000,54063,1,0
3670,40,결혼,미확인,대출있음,대출있음,유선전화,155,1,0,금,경제활동인구,2272000,54063,2,0
3671,47,결혼,석박사,없음,없음,유선전화,446,2,0,월,경제활동인구,2272000,54063,3,0
3672,46,결혼,고졸,대출있음,없음,유선전화,150,1,0,일,비경제활동인구,2272000,54063,4,0
3673,32,결혼,전문학교,없음,대출있음,유선전화,535,2,0,금,경제활동인구,2272000,54063,5,0
3674,46,결혼,검정고시,없음,없음,유선전화,32,3,0,수,경제활동인구,2272000,54063,6,0
3675,35,미혼,미확인,대출있음,없음,유선전화,125,1,0,금,경제활동인구,2272000,54063,7,0
3676,34,결혼,중졸,없음,없음,유선전화,214,2,0,월,경제활동인구,2272000,54063,8,0
3677,45,결혼,고졸,없음,없음,유선전화,408,3,0,토,경제활동인구,2272000,54063,9,0
3678,32,결혼,검정고시,없음,없음,유선전화,93,1,0,토,경제활동인구,2272000,54063,11,0
3679,38,결혼,중졸,대출있음,없음,유선전화,403,2,0,금,경제활동인구,2272000,54063,12,0
3680,34,이혼,검정고시,대출있음,없음,유선전화,271,5,0,월,경제활동인구,2272000,54063,1,0
3681,39,미혼,대졸학사,없음,없음,유선전화,38,1,0,일,경제활동인구,2272000,54063,2,0
3682,43,미혼,고졸,대출있음,없음,유선전화,551,2,0,금,경제활동인구,2272000,54063,1,0
3683,43,결혼,중졸,대출있음,대출있음,유선전화,149,6,0,목,경제활동인구,2272000,54063,3,0
3684,50,결혼,전문학교,없음,없음,유선전화,326,1,0,수,경제활동인구,2272000,54063,4,0
3685,28,미혼,고졸,미확인,미확인,유선전화,71,1,0,목,경제활동인구,2272000,54063,5,0
3686,54,결혼,미확인,없음,없음,유선전화,192,1,0,월,경제활동인구,2272000,54063,7,0
3687,35,결혼,전문학교,대출있음,없음,유선전화,87,1,0,화,경제활동인구,2272000,54063,8,0
3688,41,결혼,미확인,대출있음,없음,유선전화,70,1,0,월,경제활동인구,2272000,54063,10,0
3689,56,결혼,고졸,없음,없음,유선전화,247,2,0,월,경제활동인구,2272000,54063,11,0
3690,37,결혼,전문학교,대출있음,없음,유선전화,312,5,0,금,경제활동인구,2272000,54063,1,0
3691,28,결혼,고졸,미확인,미확인,유선전화,71,1,0,수,경제활동인구,2272000,54063,1,0
3692,53,결혼,전문학교,없음,없음,유선전화,203,4,0,수,경제활동인구,2272000,54063,2,0
3693,28,결혼,고졸,없음,없음,유선전화,523,5,0,월,경제활동인구,2272000,54063,8,0
3694,32,결혼,전문학교,없음,대출있음,유선전화,206,4,0,목,경제활동인구,2272000,54063,2,0
3695,56,결혼,석박사,없음,없음,유선전화,27,2,0,화,비경제활동인구,2272000,54063,1,0
3696,31,미혼,석박사,대출있음,대출있음,유선전화,131,4,0,수,경제활동인구,2272000,54063,2,0
3697,33,결혼,석박사,없음,없음,유선전화,198,1,0,일,경제활동인구,2272000,54063,3,0
3698,36,미혼,고졸,없음,없음,유선전화,125,5,0,토,경제활동인구,2272000,54063,4,0
3699,46,결혼,중졸,대출있음,대출있음,유선전화,409,2,0,화,경제활동인구,2272000,54063,5,0
3700,41,결혼,전문학교,대출있음,없음,유선전화,485,1,0,토,경제활동인구,2272000,54063,6,0
3701,28,결혼,석박사,대출있음,없음,유선전화,80,2,0,화,경제활동인구,2272000,54063,7,0
3702,36,결혼,전문학교,대출있음,대출있음,유선전화,201,1,0,토,경제활동인구,2272000,54063,7,0
3703,33,미혼,전문학교,없음,없음,유선전화,240,1,0,화,경제활동인구,2272000,54063,8,0
3704,47,결혼,전문학교,없음,없음,유선전화,189,1,0,금,경제활동인구,2272000,54063,10,0
3705,27,결혼,고졸,대출있음,대출있음,유선전화,152,2,0,금,경제활동인구,2272000,54063,11,0
3706,58,결혼,중졸,대출있음,없음,유선전화,281,1,0,월,경제활동인구,2272000,54063,11,0
3707,35,결혼,전문학교,대출있음,없음,유선전화,368,6,0,수,경제활동인구,2272000,54063,12,0
3708,38,이혼,전문학교,대출있음,없음,유선전화,204,1,0,일,비경제활동인구,2272000,54063,12,0
3709,36,결혼,전문학교,없음,없음,유선전화,76,2,0,일,경제활동인구,2272000,54063,1,0
3710,32,결혼,전문학교,대출있음,대출있음,유선전화,62,4,0,일,경제활동인구,2272000,54063,2,0
3711,41,이혼,전문학교,없음,없음,유선전화,293,2,0,목,경제활동인구,2272000,54063,2,0
3712,34,결혼,고졸,없음,대출있음,유선전화,107,2,0,수,경제활동인구,2272000,54063,2,0
3713,50,미혼,대졸학사,없음,없음,유선전화,101,3,0,토,경제활동인구,2272000,54063,4,0
3714,34,결혼,대졸학사,없음,없음,유선전화,222,1,0,토,경제활동인구,2272000,54063,6,0
3715,30,결혼,대졸학사,대출있음,없음,유선전화,170,5,0,수,경제활동인구,2272000,54063,7,0
3716,51,이혼,중졸,대출있음,없음,유선전화,180,2,0,금,경제활동인구,2272000,54063,9,0
3717,37,결혼,전문학교,없음,대출있음,유선전화,284,1,0,목,경제활동인구,2272000,54063,12,0
3718,51,결혼,고졸,대출있음,없음,유선전화,162,2,0,수,경제활동인구,2272000,54063,1,0
3719,41,결혼,검정고시,없음,없음,유선전화,74,2,0,목,경제활동인구,2272000,54063,1,0
3720,42,미혼,고졸,없음,없음,유선전화,153,1,0,목,경제활동인구,2272000,54063,2,0
3721,31,결혼,전문학교,없음,없음,유선전화,1269,1,0,목,경제활동인구,2272000,54063,2,1
3722,34,이혼,검정고시,없음,없음,유선전화,243,3,0,수,비경제활동인구,2272000,54063,2,0
3723,47,이혼,중졸,없음,없음,유선전화,140,3,0,수,경제활동인구,2272000,54063,3,0
3724,26,미혼,전문학교,없음,없음,유선전화,278,1,0,일,경제활동인구,2272000,54063,3,0
3725,34,결혼,검정고시,없음,없음,유선전화,479,3,0,화,경제활동인구,2272000,54063,4,0
3726,39,결혼,검정고시,대출있음,없음,유선전화,233,1,0,화,경제활동인구,2272000,54063,4,0
3727,29,미혼,전문학교,대출있음,없음,유선전화,235,2,0,금,경제활동인구,2272000,54063,5,0
3728,36,미혼,대졸학사,대출있음,대출있음,유선전화,78,3,0,수,경제활동인구,2272000,54063,5,0
3729,45,결혼,미확인,대출있음,없음,유선전화,171,3,0,수,경제활동인구,2272000,54063,6,0
3730,36,결혼,미확인,없음,없음,유선전화,179,1,0,화,경제활동인구,2272000,54063,7,0
3731,31,미혼,대졸학사,대출있음,없음,유선전화,237,3,0,금,경제활동인구,2272000,54063,7,0
3732,46,결혼,고졸,없음,없음,유선전화,162,2,0,금,경제활동인구,2272000,54063,8,0
3733,39,결혼,전문학교,대출있음,없음,유선전화,377,3,0,금,경제활동인구,2272000,54063,8,0
3734,33,결혼,석박사,대출있음,없음,유선전화,350,1,0,목,경제활동인구,2272000,54063,9,0
3735,51,결혼,중졸,대출있음,없음,유선전화,183,1,0,목,경제활동인구,2272000,54063,10,0
3736,40,미혼,대졸학사,대출있음,없음,유선전화,29,1,0,월,비경제활동인구,2272000,54063,10,0
3737,38,결혼,대졸학사,없음,없음,유선전화,100,5,0,일,비경제활동인구,2272000,54063,10,0
3738,27,미혼,전문학교,대출있음,없음,유선전화,84,3,0,월,비경제활동인구,2272000,54063,11,0
3739,41,결혼,중졸,없음,없음,유선전화,340,2,0,금,경제활동인구,2272000,54063,11,0
3740,41,이혼,전문학교,없음,없음,유선전화,163,4,0,금,미확인,2272000,54063,11,0
3741,37,미혼,대졸학사,없음,없음,유선전화,182,2,0,일,경제활동인구,2272000,54063,12,0
3742,38,미혼,대졸학사,없음,없음,유선전화,206,1,0,화,경제활동인구,2272000,54063,12,0
3743,26,결혼,전문학교,대출있음,없음,유선전화,266,2,0,목,경제활동인구,2272000,54063,12,0
3744,38,결혼,검정고시,없음,대출있음,유선전화,82,1,0,토,경제활동인구,2272000,54063,1,0
3745,42,결혼,검정고시,대출있음,없음,유선전화,300,3,0,화,경제활동인구,2272000,54063,1,0
3746,47,결혼,중졸,없음,대출있음,유선전화,216,1,0,금,경제활동인구,2272000,54063,1,0
3747,47,결혼,대졸학사,없음,없음,유선전화,148,1,0,토,경제활동인구,2272000,54063,2,0
3748,39,결혼,전문학교,대출있음,없음,유선전화,368,2,0,일,경제활동인구,2272000,54063,2,0
3749,43,결혼,전문학교,없음,없음,유선전화,1422,10,0,토,경제활동인구,2272000,54063,2,1
3750,31,결혼,석박사,없음,대출있음,유선전화,809,6,0,일,경제활동인구,2272000,54063,2,1
3751,59,결혼,고졸,없음,대출있음,유선전화,465,2,0,금,비경제활동인구,2272000,54063,2,0
3752,25,결혼,전문학교,대출있음,없음,유선전화,479,9,0,수,경제활동인구,2272000,54063,2,1
3753,34,결혼,고졸,대출있음,없음,유선전화,225,2,0,금,경제활동인구,2272000,54063,3,0
3754,40,결혼,고졸,없음,없음,휴대폰,141,3,0,일,경제활동인구,2272000,54063,4,0
3755,35,미혼,검정고시,대출있음,없음,휴대폰,153,1,0,일,경제활동인구,2272000,54063,5,0
3756,41,결혼,미확인,대출있음,없음,휴대폰,285,1,0,일,경제활동인구,2272000,54063,5,0
3757,43,결혼,검정고시,대출있음,없음,휴대폰,220,2,0,토,경제활동인구,2272000,54063,6,0
3758,33,미혼,고졸,대출있음,대출있음,유선전화,63,3,0,수,경제활동인구,2272000,54063,6,0
3759,34,미혼,대졸학사,대출있음,없음,휴대폰,132,1,0,금,경제활동인구,2272000,54063,7,0
3760,26,결혼,전문학교,대출있음,대출있음,휴대폰,273,5,0,토,경제활동인구,2272000,54063,8,0
3761,57,결혼,중졸,대출있음,없음,휴대폰,61,4,0,목,경제활동인구,2272000,54063,8,0
3762,49,결혼,고졸,대출있음,없음,휴대폰,268,1,0,토,경제활동인구,2272000,54063,9,0
3763,49,결혼,석박사,대출있음,없음,유선전화,645,2,0,월,비경제활동인구,2272000,54063,9,0
3764,29,결혼,미확인,대출있음,없음,휴대폰,166,1,0,화,경제활동인구,2272000,54063,10,0
3765,30,미혼,전문학교,대출있음,없음,휴대폰,252,2,0,목,경제활동인구,2272000,54063,10,0
3766,32,결혼,고졸,없음,대출있음,휴대폰,102,2,0,토,경제활동인구,2272000,54063,11,0
3767,22,미혼,고졸,대출있음,없음,휴대폰,245,3,0,토,경제활동인구,2272000,54063,11,0
3768,44,결혼,중졸,없음,없음,휴대폰,358,6,0,목,경제활동인구,2272000,54063,12,0
3769,37,미혼,대졸학사,없음,대출있음,휴대폰,133,4,0,목,경제활동인구,2272000,54063,12,0
3770,55,결혼,중졸,없음,없음,휴대폰,395,4,0,화,경제활동인구,2272000,54063,1,0
3771,52,결혼,중졸,대출있음,없음,휴대폰,294,1,0,일,경제활동인구,2272000,54063,1,0
3772,38,미혼,대졸학사,없음,없음,유선전화,284,8,0,금,경제활동인구,2272000,54063,2,0
3773,47,결혼,중졸,없음,없음,휴대폰,136,2,0,화,경제활동인구,2272000,54063,2,0
3774,35,미혼,전문학교,대출있음,없음,휴대폰,277,3,0,목,미확인,2272000,54063,9,0
3775,36,결혼,고졸,대출있음,없음,휴대폰,225,1,0,화,경제활동인구,2272000,54063,1,0
3776,35,미혼,대졸학사,대출있음,없음,휴대폰,127,10,0,수,경제활동인구,2272000,54063,4,0
3777,27,미혼,석박사,없음,없음,휴대폰,553,2,0,화,경제활동인구,2272000,54063,7,0
3778,37,결혼,고졸,대출있음,없음,휴대폰,623,1,0,일,경제활동인구,2272000,54063,9,0
3779,26,미혼,미확인,없음,대출있음,휴대폰,106,3,0,목,경제활동인구,2272000,54063,12,0
3780,26,미혼,고졸,대출있음,없음,휴대폰,56,3,0,일,경제활동인구,2272000,54063,2,0
3781,28,미혼,전문학교,없음,없음,휴대폰,206,2,0,토,경제활동인구,2272000,54063,1,0
3782,26,미혼,전문학교,대출있음,없음,휴대폰,75,10,0,일,경제활동인구,2272000,54063,2,0
3783,47,미혼,미확인,대출있음,없음,휴대폰,202,1,0,금,경제활동인구,2272000,54063,3,0
3784,23,미혼,석박사,없음,대출있음,휴대폰,206,3,0,화,경제활동인구,2272000,54063,4,0
3785,32,미혼,전문학교,대출있음,없음,휴대폰,853,2,0,화,비경제활동인구,2272000,54063,5,1
